"VALDATA","VALVALOR"
"1944-01-01",8.371376e-14
"1944-02-01",8.4927e-14
"1944-03-01",8.614024e-14
"1944-04-01",8.735348e-14
"1944-05-01",8.856673e-14
"1944-06-01",8.977997e-14
"1944-07-01",9.099321e-14
"1944-08-01",9.220646e-14
"1944-09-01",9.34197e-14
"1944-10-01",9.584618e-14
"1944-11-01",9.827267e-14
"1944-12-01",9.827267e-14
"1945-01-01",9.948591e-14
"1945-02-01",1.019124e-13
"1945-03-01",1.006991e-13
"1945-04-01",1.006991e-13
"1945-05-01",1.019124e-13
"1945-06-01",1.031256e-13
"1945-07-01",1.043388e-13
"1945-08-01",1.055521e-13
"1945-09-01",1.055521e-13
"1945-10-01",1.067653e-13
"1945-11-01",1.079786e-13
"1945-12-01",1.091918e-13
"1946-01-01",1.104051e-13
"1946-02-01",1.116183e-13
"1946-03-01",1.128315e-13
"1946-04-01",1.140448e-13
"1946-05-01",1.15258e-13
"1946-06-01",1.188978e-13
"1946-07-01",1.213242e-13
"1946-08-01",1.261772e-13
"1946-09-01",1.298169e-13
"1946-10-01",1.310302e-13
"1946-11-01",1.322434e-13
"1946-12-01",1.334567e-13
"1947-01-01",1.383096e-13
"1947-02-01",1.395229e-13
"1947-03-01",1.407361e-13
"1947-04-01",1.370964e-13
"1947-05-01",1.358832e-13
"1947-06-01",1.346699e-13
"1947-07-01",1.322434e-13
"1947-08-01",1.322434e-13
"1947-09-01",1.334567e-13
"1947-10-01",1.334567e-13
"1947-11-01",1.346699e-13
"1947-12-01",1.370964e-13
"1948-01-01",1.407361e-13
"1948-02-01",1.443759e-13
"1948-03-01",1.468023e-13
"1948-04-01",1.455891e-13
"1948-05-01",1.443759e-13
"1948-06-01",1.455891e-13
"1948-07-01",1.443759e-13
"1948-08-01",1.455891e-13
"1948-09-01",1.455891e-13
"1948-10-01",1.455891e-13
"1948-11-01",1.468023e-13
"1948-12-01",1.480156e-13
"1949-01-01",1.504421e-13
"1949-02-01",1.516553e-13
"1949-03-01",1.516553e-13
"1949-04-01",1.516553e-13
"1949-05-01",1.516553e-13
"1949-06-01",1.516553e-13
"1949-07-01",1.528686e-13
"1949-08-01",1.540818e-13
"1949-09-01",1.55295e-13
"1949-10-01",1.589348e-13
"1949-11-01",1.662142e-13
"1949-12-01",1.662142e-13
"1950-01-01",1.686407e-13
"1950-02-01",1.686407e-13
"1950-03-01",1.65001e-13
"1950-04-01",1.637877e-13
"1950-05-01",1.65001e-13
"1950-06-01",1.662142e-13
"1950-07-01",1.69854e-13
"1950-08-01",1.747069e-13
"1950-09-01",1.795599e-13
"1950-10-01",1.844129e-13
"1950-11-01",1.844129e-13
"1950-12-01",1.868394e-13
"1951-01-01",1.929056e-13
"1951-02-01",1.953321e-13
"1951-03-01",2.00185e-13
"1951-04-01",2.026115e-13
"1951-05-01",2.05038e-13
"1951-06-01",2.026115e-13
"1951-07-01",1.977585e-13
"1951-08-01",2.00185e-13
"1951-09-01",2.013983e-13
"1951-10-01",2.05038e-13
"1951-11-01",2.062512e-13
"1951-12-01",2.09891e-13
"1952-01-01",2.171704e-13
"1952-02-01",2.208102e-13
"1952-03-01",2.208102e-13
"1952-04-01",2.208102e-13
"1952-05-01",2.220234e-13
"1952-06-01",2.232366e-13
"1952-07-01",2.268764e-13
"1952-08-01",2.280896e-13
"1952-09-01",2.268764e-13
"1952-10-01",2.280896e-13
"1952-11-01",2.341558e-13
"1952-12-01",2.365823e-13
"1953-01-01",2.390088e-13
"1953-02-01",2.414353e-13
"1953-03-01",2.475015e-13
"1953-04-01",2.475015e-13
"1953-05-01",2.462883e-13
"1953-06-01",2.49928e-13
"1953-07-01",2.54781e-13
"1953-08-01",2.644869e-13
"1953-09-01",2.681266e-13
"1953-10-01",2.754061e-13
"1953-11-01",2.790458e-13
"1953-12-01",2.85112e-13
"1954-01-01",2.934773e-13
"1954-02-01",3.007416e-13
"1954-03-01",3.065531e-13
"1954-04-01",3.181759e-13
"1954-05-01",3.239874e-13
"1954-06-01",3.283459e-13
"1954-07-01",3.327045e-13
"1954-08-01",3.356102e-13
"1954-09-01",3.443274e-13
"1954-10-01",3.457802e-13
"1954-11-01",3.530445e-13
"1954-12-01",3.58856e-13
"1955-01-01",3.646674e-13
"1955-02-01",3.646674e-13
"1955-03-01",3.675731e-13
"1955-04-01",3.748374e-13
"1955-05-01",3.748374e-13
"1955-06-01",3.748374e-13
"1955-07-01",3.79196e-13
"1955-08-01",3.864603e-13
"1955-09-01",3.951774e-13
"1955-10-01",3.99536e-13
"1955-11-01",4.009889e-13
"1955-12-01",4.024417e-13
"1956-01-01",4.09706e-13
"1956-02-01",4.213289e-13
"1956-03-01",4.271403e-13
"1956-04-01",4.285932e-13
"1956-05-01",4.416689e-13
"1956-06-01",4.547446e-13
"1956-07-01",4.620089e-13
"1956-08-01",4.707261e-13
"1956-09-01",4.867075e-13
"1956-10-01",4.939718e-13
"1956-11-01",4.997832e-13
"1956-12-01",5.012361e-13
"1957-01-01",5.23029e-13
"1957-02-01",5.23029e-13
"1957-03-01",5.215761e-13
"1957-04-01",5.201233e-13
"1957-05-01",5.186704e-13
"1957-06-01",5.186704e-13
"1957-07-01",5.201233e-13
"1957-08-01",5.23029e-13
"1957-09-01",5.215761e-13
"1957-10-01",5.23029e-13
"1957-11-01",5.288404e-13
"1957-12-01",5.361047e-13
"1958-01-01",5.43369e-13
"1958-02-01",5.462747e-13
"1958-03-01",5.53539e-13
"1958-04-01",5.608033e-13
"1958-05-01",5.709733e-13
"1958-06-01",5.724262e-13
"1958-07-01",5.825962e-13
"1958-08-01",5.94219e-13
"1958-09-01",6.116533e-13
"1958-10-01",6.334462e-13
"1958-11-01",6.595977e-13
"1958-12-01",6.668619e-13
"1959-01-01",6.944663e-13
"1959-02-01",7.438634e-13
"1959-03-01",7.554863e-13
"1959-04-01",7.714677e-13
"1959-05-01",7.801849e-13
"1959-06-01",7.88902e-13
"1959-07-01",8.063363e-13
"1959-08-01",8.441107e-13
"1959-09-01",8.659035e-13
