"VALDATA","VALVALOR"
"1979-03-01",5.5765e-09
"1979-04-01",5.7689e-09
"1979-05-01",5.8704e-09
"1979-06-01",6.0465e-09
"1979-07-01",6.3705e-09
"1979-08-01",6.739e-09
"1979-09-01",7.1843e-09
"1979-10-01",7.5481e-09
"1979-11-01",8.0089e-09
"1979-12-01",8.3698e-09
"1980-01-01",8.919e-09
"1980-02-01",9.289e-09
"1980-03-01",9.7649e-09
"1980-04-01",1.02385e-08
"1980-05-01",1.0805e-08
"1980-06-01",1.14018e-08
"1980-07-01",1.20305e-08
"1980-08-01",1.26497e-08
"1980-09-01",1.3213e-08
"1980-10-01",1.44874e-08
"1980-11-01",1.56502e-08
"1980-12-01",1.67147e-08
"1981-01-01",1.77526e-08
"1981-02-01",1.88272e-08
"1981-03-01",1.98351e-08
"1981-04-01",2.11322e-08
"1981-05-01",2.22972e-08
"1981-06-01",2.3428e-08
"1981-07-01",2.4881e-08
"1981-08-01",2.64048e-08
"1981-09-01",2.77978e-08
"1981-10-01",2.90825e-08
"1981-11-01",3.06041e-08
"1981-12-01",3.23447e-08
"1982-01-01",3.45162e-08
"1982-02-01",3.67858e-08
"1982-03-01",3.87129e-08
"1982-04-01",4.08994e-08
"1982-05-01",4.36251e-08
"1982-06-01",4.67411e-08
"1982-07-01",4.97287e-08
"1982-08-01",5.24972e-08
"1982-09-01",5.47568e-08
"1982-10-01",5.68955e-08
"1982-11-01",5.98882e-08
"1982-12-01",6.47902e-08
"1983-01-01",7.0715e-08
"1983-02-01",7.64006e-08
"1983-03-01",8.19173e-08
"1983-04-01",8.72955e-08
"1983-05-01",9.31523e-08
"1983-06-01",1.032437e-07
"1983-07-01",1.15043e-07
"1983-08-01",1.263712e-07
"1983-09-01",1.406165e-07
"1983-10-01",1.548139e-07
"1983-11-01",1.662278e-07
"1983-12-01",1.800977e-07
"1984-01-01",1.970107e-07
"1984-02-01",2.161933e-07
"1984-03-01",2.374517e-07
"1984-04-01",2.600678e-07
"1984-05-01",2.827142e-07
"1984-06-01",3.108773e-07
"1984-07-01",3.391915e-07
"1984-08-01",3.682615e-07
"1984-09-01",4.091458e-07
"1984-10-01",4.520706e-07
"1984-11-01",4.987488e-07
"1984-12-01",5.567124e-07
"1985-01-01",6.22611e-07
"1985-02-01",6.907768e-07
"1985-03-01",7.594716e-07
"1985-04-01",8.246648e-07
"1985-05-01",8.840643e-07
"1985-06-01",9.577468e-07
"1985-07-01",1.054252e-06
"1985-08-01",1.1766784e-06
"1985-09-01",1.2953765e-06
"1985-10-01",1.4281562e-06
"1985-11-01",1.6307138e-06
"1985-12-01",1.8875573e-06
"1986-01-01",2.170876e-06
"1986-02-01",2.4415742e-06
"1986-03-01",2.5190605e-06
"1986-04-01",2.5298925e-06
"1986-05-01",2.5570983e-06
"1986-06-01",2.5817851e-06
"1986-07-01",2.6052124e-06
"1986-08-01",2.6424945e-06
"1986-09-01",2.6739828e-06
"1986-10-01",2.7122725e-06
"1986-11-01",2.8014472e-06
"1986-12-01",3.0049873e-06
"1987-01-01",3.5103108e-06
"1987-02-01",3.9997643e-06
"1987-03-01",4.5756215e-06
"1987-04-01",5.5346279e-06
"1987-05-01",6.8153183e-06
"1987-06-01",8.2670529e-06
"1987-07-01",9.0880147e-06
"1987-08-01",9.5505142e-06
"1987-09-01",1.02334315e-05
"1987-10-01",1.13468563e-05
"1987-11-01",1.30409245e-05
"1987-12-01",1.48627091e-05
"1988-01-01",1.76820416e-05
"1988-02-01",2.0477695e-05
"1988-03-01",2.41822254e-05
"1988-04-01",2.86147643e-05
"1988-05-01",3.38340059e-05
"1988-06-01",4.13722945e-05
"1988-07-01",5.08961066e-05
"1988-08-01",6.13960547e-05
"1988-09-01",7.79299086e-05
"1988-10-01",9.87292876e-05
"1988-11-01",0.0001265215786
"1988-12-01",0.0001624917478
"1989-01-01",0.0002201437229
"1989-02-01",0.0002561373193
"1989-03-01",0.0002712494153
"1989-04-01",0.0002931120898
"1989-05-01",0.0003419738031
"1989-06-01",0.0004425140433
"1989-07-01",0.0005637629763
"1989-08-01",0.0007508195948
"1989-09-01",0.001023742422
"1989-10-01",0.0014205450891
"1989-11-01",0.0021090831794
"1989-12-01",0.003190620911
"1990-01-01",0.0053663052799
"1990-02-01",0.0093368346371
"1990-03-01",0.0170098454104
"1990-04-01",0.0195051897442
"1990-05-01",0.0209310190666
"1990-06-01",0.0233673896742
"1990-07-01",0.0263163543373
"1990-08-01",0.0295216863099
"1990-09-01",0.0337314788076
"1990-10-01",0.0385989312553
"1990-11-01",0.0451298705166
"1990-12-01",0.0537677278248
"1991-01-01",0.065032066804
"1991-02-01",0.0781675227116
"1991-03-01",0.0873833112608
"1991-04-01",0.0917600043057
"1991-05-01",0.0978895252777
"1991-06-01",0.1084925212048
"1991-07-01",0.1216656145218
"1991-08-01",0.1406671295351
"1991-09-01",0.1626419998971
"1991-10-01",0.1969243031581
"1991-11-01",0.2490682456026
"1991-12-01",0.3092182027201
"1992-01-01",0.3893697545885
"1992-02-01",0.4846891824762
"1992-03-01",0.5894771072339
"1992-04-01",0.7123256117679
"1992-05-01",0.8868449027414
"1992-06-01",1.0717521187308
"1992-07-01",1.308394642433
"1992-08-01",1.6012136881666
"1992-09-01",1.9851851628815
"1992-10-01",2.5027210502859
"1992-11-01",3.0755946831675
"1992-12-01",3.862329453472
"1993-01-01",4.9735202005622
"1993-02-01",6.206457213766
"1993-03-01",7.9181958432492
"1993-04-01",10.1645900046761
"1993-05-01",12.8866672541687
"1993-06-01",16.8003502644861
"1993-07-01",22.0101366146558
"1993-08-01",29.3483184707683
"1993-09-01",39.8051253226265
"1993-10-01",53.3866329234744
"1993-11-01",72.6058212060671
"1993-12-01",100
"1994-01-01",141.32
"1994-02-01",198.65
"1994-03-01",284.23
"1994-04-01",406.05
"1994-05-01",579.56
"1994-06-01",859.14
"1994-07-01",925.72
"1994-08-01",942.85
"1994-09-01",956.05
"1994-10-01",983.01
"1994-11-01",1012.11
"1994-12-01",1029.32
"1995-01-01",1044.14
"1995-02-01",1054.69
"1995-03-01",1071.78
"1995-04-01",1098.47
"1995-05-01",1121.54
"1995-06-01",1145.99
"1995-07-01",1174.18
"1995-08-01",1186.16
"1995-09-01",1200.04
"1995-10-01",1216.84
"1995-11-01",1235.21
"1995-12-01",1255.59
"1996-01-01",1273.92
"1996-02-01",1282.96
"1996-03-01",1286.68
"1996-04-01",1298.65
"1996-05-01",1315.27
"1996-06-01",1332.76
"1996-07-01",1348.75
"1996-08-01",1355.49
"1996-09-01",1355.76
"1996-10-01",1360.91
"1996-11-01",1365.54
"1996-12-01",1370.05
"1997-01-01",1381.15
"1997-02-01",1387.37
"1997-03-01",1396.8
"1997-04-01",1405.18
"1997-05-01",1406.73
"1997-06-01",1411.65
"1997-07-01",1414.19
"1997-08-01",1413.77
"1997-09-01",1415.18
"1997-10-01",1419.28
"1997-11-01",1421.41
"1997-12-01",1429.51
"1998-01-01",1441.66
"1998-02-01",1449.44
"1998-03-01",1456.54
"1998-04-01",1463.09
"1998-05-01",1473.62
"1998-06-01",1475.83
"1998-07-01",1471.7
"1998-08-01",1464.49
"1998-09-01",1459.95
"1998-10-01",1461.56
"1998-11-01",1458.93
"1998-12-01",1465.06
"1999-01-01",1474.58
"1999-02-01",1493.6
"1999-03-01",1512.72
"1999-04-01",1519.83
"1999-05-01",1520.59
"1999-06-01",1521.65
"1999-07-01",1532.91
"1999-08-01",1541.34
"1999-09-01",1547.35
"1999-10-01",1562.2
"1999-11-01",1576.88
"1999-12-01",1588.55
"2000-01-01",1598.24
"2000-02-01",1599.04
"2000-03-01",1601.12
"2000-04-01",1602.56
"2000-05-01",1601.76
"2000-06-01",1606.57
"2000-07-01",1628.9
"2000-08-01",1648.61
"2000-09-01",1655.7
"2000-10-01",1658.35
"2000-11-01",1663.16
"2000-12-01",1672.31
"2001-01-01",1685.19
"2001-02-01",1693.45
"2001-03-01",1701.58
"2001-04-01",1715.87
"2001-05-01",1725.65
"2001-06-01",1736
"2001-07-01",1755.27
"2001-08-01",1769.14
"2001-09-01",1776.92
"2001-10-01",1793.62
"2001-11-01",1816.76
"2001-12-01",1830.2
"2002-01-01",1849.78
"2002-02-01",1855.51
"2002-03-01",1867.01
"2002-04-01",1879.71
"2002-05-01",1881.4
"2002-06-01",1892.88
"2002-07-01",1914.65
"2002-08-01",1931.12
"2002-09-01",1947.15
"2002-10-01",1977.72
"2002-11-01",2044.76
"2002-12-01",2099.97
