"VALDATA","VALVALOR"
"1979-12-01",7.6183e-09
"1980-01-01",8.1223e-09
"1980-02-01",8.4973e-09
"1980-03-01",9.0104e-09
"1980-04-01",9.4867e-09
"1980-05-01",1.00277e-08
"1980-06-01",1.05597e-08
"1980-07-01",1.11453e-08
"1980-08-01",1.16965e-08
"1980-09-01",1.21913e-08
"1980-10-01",1.33471e-08
"1980-11-01",1.42378e-08
"1980-12-01",1.51795e-08
"1981-01-01",1.62174e-08
"1981-02-01",1.72555e-08
"1981-03-01",1.81134e-08
"1981-04-01",1.92839e-08
"1981-05-01",2.0356e-08
"1981-06-01",2.14792e-08
"1981-07-01",2.28229e-08
"1981-08-01",2.40772e-08
"1981-09-01",2.53429e-08
"1981-10-01",2.66297e-08
"1981-11-01",2.80335e-08
"1981-12-01",2.96946e-08
"1982-01-01",3.17628e-08
"1982-02-01",3.38708e-08
"1982-03-01",3.58057e-08
"1982-04-01",3.79137e-08
"1982-05-01",4.04382e-08
"1982-06-01",4.33113e-08
"1982-07-01",4.6065e-08
"1982-08-01",4.88164e-08
"1982-09-01",5.12964e-08
"1982-10-01",5.35752e-08
"1982-11-01",5.64085e-08
"1982-12-01",6.08117e-08
"1983-01-01",6.60665e-08
"1983-02-01",7.12581e-08
"1983-03-01",7.64919e-08
"1983-04-01",8.15245e-08
"1983-05-01",8.68097e-08
"1983-06-01",9.53868e-08
"1983-07-01",1.050003e-07
"1983-08-01",1.145671e-07
"1983-09-01",1.263682e-07
"1983-10-01",1.375727e-07
"1983-11-01",1.477314e-07
"1983-12-01",1.605502e-07
"1984-01-01",1.760737e-07
"1984-02-01",1.92802e-07
"1984-03-01",2.100357e-07
"1984-04-01",2.300794e-07
"1984-05-01",2.509021e-07
"1984-06-01",2.761935e-07
"1984-07-01",3.030524e-07
"1984-08-01",3.313854e-07
"1984-09-01",3.703168e-07
"1984-10-01",4.089675e-07
"1984-11-01",4.520168e-07
"1984-12-01",5.061559e-07
"1985-01-01",5.656761e-07
"1985-02-01",6.271382e-07
"1985-03-01",6.908698e-07
"1985-04-01",7.474889e-07
"1985-05-01",8.01277e-07
"1985-06-01",8.693369e-07
"1985-07-01",9.589916e-07
"1985-08-01",1.0745459e-06
"1985-09-01",1.1940075e-06
"1985-10-01",1.3207687e-06
"1985-11-01",1.5053189e-06
"1985-12-01",1.7322163e-06
"1986-01-01",1.9811765e-06
"1986-02-01",2.233108e-06
"1986-03-01",2.3396314e-06
"1986-04-01",2.3578806e-06
"1986-05-01",2.3908694e-06
"1986-06-01",2.4212846e-06
"1986-07-01",2.462696e-06
"1986-08-01",2.5501983e-06
"1986-09-01",2.5939494e-06
"1986-10-01",2.6433156e-06
"1986-11-01",2.7874369e-06
"1986-12-01",3.1121777e-06
"1987-01-01",3.523251e-06
"1987-02-01",3.9684829e-06
"1987-03-01",4.6181985e-06
"1987-04-01",5.5002395e-06
"1987-05-01",6.6801157e-06
"1987-06-01",7.9968603e-06
"1987-07-01",8.7333762e-06
"1987-08-01",9.1587212e-06
"1987-09-01",9.871373e-06
"1987-10-01",1.09789545e-05
"1987-11-01",1.26344777e-05
"1987-12-01",1.44221901e-05
"1988-01-01",1.7146457e-05
"1988-02-01",1.98384369e-05
"1988-03-01",2.33301029e-05
"1988-04-01",2.7830389e-05
"1988-05-01",3.26783343e-05
"1988-06-01",3.98675537e-05
"1988-07-01",4.86025677e-05
"1988-08-01",5.90958147e-05
"1988-09-01",7.53176493e-05
"1988-10-01",9.46139936e-05
"1988-11-01",0.0001210492553
"1988-12-01",0.0001557904426
"1989-01-01",0.0002141963
"1989-02-01",0.0002501384201
"1989-03-01",0.0002671978428
"1989-04-01",0.0002894554586
"1989-05-01",0.0003413257896
"1989-06-01",0.0004391155989
"1989-07-01",0.0005609261703
"1989-08-01",0.0007500144816
"1989-09-01",0.001031719911
"1989-10-01",0.0014420348808
"1989-11-01",0.0021316159803
"1989-12-01",0.0032293981927
"1990-01-01",0.0054108567454
"1990-02-01",0.0095084984833
"1990-03-01",0.017342550351
"1990-04-01",0.0200341140678
"1990-05-01",0.0215547032441
"1990-06-01",0.0240873809519
"1990-07-01",0.027199470492
"1990-08-01",0.0307027623187
"1990-09-01",0.0351270304097
"1990-10-01",0.0401712720553
"1990-11-01",0.0469240627842
"1990-12-01",0.0555768600186
"1991-01-01",0.0671090584724
"1991-02-01",0.0810143888491
"1991-03-01",0.0906736471203
"1991-04-01",0.0951976035258
"1991-05-01",0.1022725378062
"1991-06-01",0.113715813284
"1991-07-01",0.1278267780427
"1991-08-01",0.1478066592194
"1991-09-01",0.1709099599291
"1991-10-01",0.2054843245466
"1991-11-01",0.2572875157699
"1991-12-01",0.3182886773263
"1992-01-01",0.4008536605699
"1992-02-01",0.4983410307284
"1992-03-01",0.6049874674181
"1992-04-01",0.7255614652283
"1992-05-01",0.9059361644186
"1992-06-01",1.0890285720637
"1992-07-01",1.3267641484791
"1992-08-01",1.6205100844213
"1992-09-01",2.0196408623306
"1992-10-01",2.5293973801068
"1992-11-01",3.0982598885128
"1992-12-01",3.88025965509
"1993-01-01",5.0579166458253
"1993-02-01",6.3213843084293
"1993-03-01",8.0445948724789
"1993-04-01",10.2769672819025
"1993-05-01",13.1226581300609
"1993-06-01",17.0686429798089
"1993-07-01",22.3121307612362
"1993-08-01",29.6662109364145
"1993-09-01",40.2540807309468
"1993-10-01",53.9082648348533
"1993-11-01",73.078046584524
"1993-12-01",100
"1994-01-01",141.31
"1994-02-01",198.22
"1994-03-01",282.96
"1994-04-01",403.73
"1994-05-01",581.49
"1994-06-01",857.29
"1994-07-01",915.93
"1994-08-01",932.97
"1994-09-01",947.24
"1994-10-01",972.06
"1994-11-01",999.37
"1994-12-01",1016.46
"1995-01-01",1033.74
"1995-02-01",1044.28
"1995-03-01",1060.47
"1995-04-01",1086.24
"1995-05-01",1115.24
"1995-06-01",1140.44
"1995-07-01",1167.35
"1995-08-01",1178.91
"1995-09-01",1190.58
"1995-10-01",1207.37
"1995-11-01",1225.12
"1995-12-01",1244.23
"1996-01-01",1260.9
"1996-02-01",1273.89
"1996-03-01",1278.35
"1996-04-01",1294.46
"1996-05-01",1310.25
"1996-06-01",1325.84
"1996-07-01",1340.56
"1996-08-01",1346.46
"1996-09-01",1348.48
"1996-10-01",1352.53
"1996-11-01",1356.86
"1996-12-01",1363.24
"1997-01-01",1379.33
"1997-02-01",1386.23
"1997-03-01",1393.3
"1997-04-01",1405.56
"1997-05-01",1411.32
"1997-06-01",1418.94
"1997-07-01",1422.06
"1997-08-01",1421.78
"1997-09-01",1422.63
"1997-10-01",1425.9
"1997-11-01",1428.32
"1997-12-01",1434.46
"1998-01-01",1444.64
"1998-02-01",1451.29
"1998-03-01",1456.22
"1998-04-01",1459.71
"1998-05-01",1467.01
"1998-06-01",1467.3
"1998-07-01",1465.54
"1998-08-01",1458.07
"1998-09-01",1454.86
"1998-10-01",1455.15
"1998-11-01",1453.4
"1998-12-01",1458.2
